[camera]
width=480
height=640

[client]
fps = 10

[detection]
tag_pixel_width = 200
widen_radius = 15


[arena]
nleds = 100
ring_r = 350.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
time,x,y,θ,leds
2023-11-23T15:23:17.608,237.14943184767023,397.7704189596053,-1.6855228048360364,"25,33,237,237,0"
2023-11-23T15:23:17.699,236.88279486376882,397.24512576301885,-1.6812327940763696,"26,34,237,237,0"
2023-11-23T15:23:17.804,236.3644826646289,398.03694151403454,-1.6832508093252827,"26,34,237,237,0"
2023-11-23T15:23:17.900,238.1456120579139,394.92172135067807,-1.680354658170136,"26,34,237,237,0"
2023-11-23T15:23:18.006,237.1287506330553,396.63256122056805,-1.6833730875991768,"26,34,237,237,0"
2023-11-23T15:23:18.103,236.37420496422985,399.09346623393833,-1.6866147080781566,"25,33,237,237,0"
2023-11-23T15:23:18.216,237.33764041923752,397.50379312687613,-1.6770147985232964,"26,34,237,237,0"
2023-11-23T15:23:18.321,236.7609662231299,399.9016966201349,-1.6848881415363604,"26,34,237,237,0"
2023-11-23T15:23:18.401,235.92292610926557,404.36969340215694,-1.6922223738706357,"25,33,237,201,0"
2023-11-23T15:23:18.498,237.68656613185763,404.46751319479586,-1.782354667442201,"24,32,237,201,0"
2023-11-23T15:23:18.609,240.24323907876234,404.9655968078439,-1.975240990166835,"22,30,237,201,0"
2023-11-23T15:23:18.714,237.32988465821924,407.80888235539715,-2.051754155562718,"21,29,237,201,0"
2023-11-23T15:23:18.796,241.41437598546426,408.4829698427519,-2.134817885457351,"20,28,237,201,0"
2023-11-23T15:23:18.914,241.9026988325246,411.53851035699927,-2.2302958739397805,"18,26,237,201,0"
2023-11-23T15:23:18.997,244.1624995580145,410.796996881435,-2.397159592868867,"16,24,237,201,0"
2023-11-23T15:23:19.103,250.08094584950575,409.3318910831906,-2.5254136764786814,"15,23,237,201,0"
2023-11-23T15:23:19.197,249.90722311986704,409.014156118776,-2.4643708707255056,"15,23,237,201,0"
2023-11-23T15:23:19.301,246.1936033870791,407.9056387007536,-2.2471362995941955,"18,26,237,201,0"
2023-11-23T15:23:19.398,242.50656886808895,406.3469399850803,-2.0509633992384755,"21,29,237,201,0"
2023-11-23T15:23:19.515,236.48110958762678,404.687563686868,-1.8693853635561364,"23,31,237,201,0"
2023-11-23T15:23:19.598,232.64027962732533,404.041744239403,-1.7809573693106107,"24,32,237,201,0"
2023-11-23T15:23:19.697,232.6696586189213,403.03379868652576,-1.73672374739612,"25,33,237,201,0"
2023-11-23T15:23:19.797,231.08380156539465,403.7361236428118,-1.7340756048821344,"25,33,237,201,0"
2023-11-23T15:23:19.908,230.76508005939993,404.0907209710118,-1.7538600271423186,"25,33,237,201,0"
2023-11-23T15:23:19.992,232.19325239992608,401.7315109354323,-1.7709606391542059,"24,32,237,201,0"
2023-11-23T15:23:20.097,232.3592481617976,402.1622177592468,-1.7850152961219814,"25,33,237,201,200"
2023-11-23T15:23:20.211,232.19587564833856,404.01133704880965,-1.7929517653071982,"25,33,237,201,200"
2023-11-23T15:23:20.292,233.85906448006574,403.20831606917176,-1.8123433350499578,"25,33,237,201,200"
2023-11-23T15:23:20.401,233.70551007571012,403.88304005624417,-1.8270788744681339,"25,33,237,201,200"
2023-11-23T15:23:20.492,235.40650039048214,405.832026797156,-1.9291278927674573,"23,31,237,201,200"
2023-11-23T15:23:20.611,239.23267467842612,406.9410061700332,-2.1628939430595815,"20,28,237,201,200"
2023-11-23T15:23:20.696,241.14182197014748,408.62021923663644,-2.3197906774723727,"18,26,237,201,200"
2023-11-23T15:23:20.791,239.64885133483406,411.54789221334363,-2.4215522602225934,"17,25,237,201,200"
2023-11-23T15:23:20.893,241.9497034728915,411.997104478521,-2.4998972615969945,"16,24,237,201,200"
2023-11-23T15:23:20.993,249.8557297543686,414.5088529984348,-2.7009917000569077,"14,22,237,201,200"
2023-11-23T15:23:21.099,255.06553473231992,413.3044474757474,-2.8723554238299585,"11,19,237,201,200"
2023-11-23T15:23:21.191,265.0066841689511,409.402548949487,-3.070446812805407,"9,17,237,201,200"
2023-11-23T15:23:21.289,270.98122884852773,409.605544719474,3.094077426585638,"7,15,237,201,200"
2023-11-23T15:23:21.392,269.99283650450803,411.6504485337655,3.1001720841982685,"7,15,237,201,200"
2023-11-23T15:23:21.491,267.7737998465383,414.34576031670724,-3.0952050834278033,"9,17,237,201,200"
2023-11-23T15:23:21.591,257.459263101685,417.1611336075208,-2.7902877015033147,"12,20,237,201,200"
2023-11-23T15:23:21.689,257.76686639108027,411.21488054257327,-2.5168121514823043,"16,24,237,201,200"
2023-11-23T15:23:21.791,255.09784039934436,413.70236612685835,-2.3210154438144226,"18,26,237,201,200"
2023-11-23T15:23:21.892,244.51771593730317,419.1364254795302,-2.0831716704687038,"21,29,237,201,200"
2023-11-23T15:23:21.989,229.5977664447396,419.85145844191095,-1.7666048947780477,"25,33,237,201,200"
2023-11-23T15:23:22.092,227.72057174891154,417.51027195538103,-1.6870503958804328,"26,34,237,201,200"
2023-11-23T15:23:22.194,228.05510363112646,419.62370517274405,-1.7393292049374092,"26,34,237,201,200"
2023-11-23T15:23:22.305,230.0731977933565,418.7129488639499,-1.774598355181083,"25,33,237,201,200"
2023-11-23T15:23:22.389,230.3663577634878,418.2675394409779,-1.7893724473346129,"25,33,237,201,200"
2023-11-23T15:23:22.489,230.07276695322454,417.44981819993836,-1.8120244058754722,"25,33,237,201,200"
2023-11-23T15:23:22.589,226.84188678815823,417.7791567427275,-1.7582753402762041,"26,34,237,201,200"
2023-11-23T15:23:22.688,220.60029666077048,418.85675388384277,-1.6075368835934236,"27,35,237,201,200"
2023-11-23T15:23:22.786,209.02289068414956,420.8035451208658,-1.431186867900442,"30,38,237,201,200"
2023-11-23T15:23:22.887,209.6485783093915,417.57649993608595,-1.408118100315492,"30,38,237,201,200"
2023-11-23T15:23:22.988,213.7540630281356,414.79388516959506,-1.4627274074927823,"29,37,237,201,200"
2023-11-23T15:23:23.085,221.0237840736424,416.10119159976574,-1.6266143288986,"27,35,237,201,200"
2023-11-23T15:23:23.186,227.26201321866714,414.5083404569857,-1.7385304079661446,"26,34,237,201,200"
2023-11-23T15:23:23.284,228.49368232407213,414.4086441704528,-1.7808254952302385,"25,33,237,201,200"
2023-11-23T15:23:23.392,234.78129152397614,413.02081937723716,-1.9457515475251332,"23,31,237,201,200"
2023-11-23T15:23:23.485,238.22501389136372,412.33384397566056,-2.095878411096181,"21,29,237,201,200"
2023-11-23T15:23:23.584,247.87280883440633,410.4565958997059,-2.3398941506283295,"18,26,237,201,200"
2023-11-23T15:23:23.694,249.0685433767137,412.16296286523357,-2.3823525856390275,"18,26,237,201,200"
2023-11-23T15:23:23.803,247.59357871163107,413.71037952232876,-2.373100294386595,"18,26,237,201,200"
2023-11-23T15:23:23.884,248.4734212645535,413.2081218937667,-2.3566085789543534,"18,26,237,201,200"
2023-11-23T15:23:23.985,248.63324077501844,411.7997661045016,-2.3425345422291346,"18,26,237,201,200"
