[camera]
width=480
height=640
# width=720
# height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 115200 #9600##921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    width = 11
    "θ" = 1.5707963267948966
    r = 5

        [setup.suns.color]
        r = 0.39215686274509803
        g = 1
        b = 0
    [[setup.suns]]
    link_factor = -0.8
    width = 3
    "θ" = 3.141592653589793
    r = 1

        [setup.suns.color]
        r = 0.1607843137254902
        g = 0.5019607843137255
        b = 1

[experiment]
datetime = 2023-12-05T11:10:44.380Z

ms,x,y,θ,start1,stop1,red1,green1,blue1,start2,stop2,red2,green2,blue2
4350,239.30712379043945,304.75134586209515,2.2833581587242198,53,63,100,255,0,95,97,41,128,255
4387,239.04252464014078,305.38418563724935,2.379830273001428,58,68,100,255,0,93,95,41,128,255
4419,239.2386939267459,305.4131275693394,2.516011739042531,64,74,100,255,0,89,91,41,128,255
4450,238.93343338270762,305.9010661375498,2.6819480487259795,72,82,100,255,0,85,87,41,128,255
4486,238.66136450944265,305.9877318430306,2.8356544813550024,79,89,100,255,0,81,83,41,128,255
4518,238.1813074644784,305.83235206719513,2.9515213695491678,85,95,100,255,0,78,80,41,128,255
4550,238.3175198868751,305.2651114703327,3.0184146056972767,88,98,100,255,0,76,78,41,128,255
4587,238.1160885700855,305.12005214156216,3.1153024773444695,92,102,100,255,0,74,76,41,128,255
4619,237.7048484493643,305.71094418908757,-3.062997155948119,97,107,100,255,0,71,73,41,128,255
4651,237.96976671730232,306.1024820469342,-2.92674229873892,104,114,100,255,0,68,70,41,128,255
4686,239.13766772459675,305.66424812730304,-2.802561925766646,110,120,100,255,0,65,67,41,128,255
4718,239.90179752659935,305.1960598237853,-2.726118561038475,113,123,100,255,0,63,65,41,128,255
4750,239.9778232678266,304.8035311594085,-2.698671013770495,115,125,100,255,0,62,64,41,128,255
4786,239.832283932573,304.6997533427676,-2.6470653188721114,117,127,100,255,0,61,63,41,128,255
4818,239.57048039870844,304.7684647372432,-2.5864755081114734,120,130,100,255,0,59,61,41,128,255
4850,239.1260794936419,304.67386473001517,-2.5755727172573524,120,130,100,255,0,59,61,41,128,255
4886,238.63895742809498,304.4086765377828,-2.572727095570727,121,131,100,255,0,59,61,41,128,255
4918,237.9763009730438,304.72561445657607,-2.541365674345865,122,132,100,255,0,58,60,41,128,255
4951,237.22197053781116,304.7142300841342,-2.52242983939975,123,133,100,255,0,58,60,41,128,255
4987,236.75986485244576,304.7931131766775,-2.505346920721193,124,134,100,255,0,57,59,41,128,255
5018,236.4529878306447,304.764469229014,-2.486386911252537,125,135,100,255,0,57,59,41,128,255
5050,236.15938341585888,304.90318810328256,-2.4778607338821232,125,135,100,255,0,57,59,41,128,255
5086,236.09976599689844,305.0022369972865,-2.4719336169333452,125,135,100,255,0,56,58,41,128,255
5119,236.40639384723036,304.55075507961203,-2.4833551394277604,125,135,100,255,0,57,59,41,128,255
5150,236.70670938472097,304.2040140756891,-2.497450058188859,124,134,100,255,0,57,59,41,128,255
5186,237.10722806950838,303.6449863607378,-2.502292301531563,124,134,100,255,0,57,59,41,128,255
5217,237.35034246006813,303.46929993854144,-2.5087079385605735,124,134,100,255,0,57,59,41,128,255
5249,237.07223004374916,303.4462144667159,-2.5136379552731345,123,133,100,255,0,57,59,41,128,255
5287,236.92241513291938,303.80626123370547,-2.5233971402156765,123,133,100,255,0,58,60,41,128,255
5318,236.80236657241352,303.73885667141235,-2.5330368597112285,122,132,100,255,0,58,60,41,128,255
5349,237.0410245515704,303.56198596408217,-2.53969607680839,122,132,100,255,0,58,60,41,128,255
5386,237.04260586761953,303.48401655162934,-2.537877401117383,122,132,100,255,0,58,60,41,128,255
5416,236.69803911261653,303.4082920391568,-2.5350768047538144,122,132,100,255,0,58,60,41,128,255
5449,236.0892789193948,303.19421599132914,-2.5493382695996347,122,132,100,255,0,58,60,41,128,255
5485,235.47073148512712,303.10919352804405,-2.560817215727586,121,131,100,255,0,59,61,41,128,255
