[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    green = 255
    azimuth = 90
    width = 11
    red = 100
    [[setup.suns]]
    blue = 255
    link_factor = -0.8
    green = 128
    azimuth = 180
    width = 3
    red = 41

[experiment]
datetime = 2023-12-10T11:48:13.535Z

ms,x,y,θ,start1,stop1,start2,stop2
44597,349.4215154657186,625.8518009176327,2.234026404795,85,95,24,26
44696,350.2430427815753,626.9619479140124,2.498447807828728,92,102,21,23
44796,348.2721026618111,627.3293646950319,2.5842827368845565,94,104,19,21
44897,345.4502976370565,627.562352118367,2.814783639511966,100,110,16,18
44997,343.34933693215464,626.7945748541064,3.077476913605359,107,4,12,14
45096,341.49382786590013,623.8855219883761,-2.9513490484409712,1,11,9,11
45198,341.63305997980586,621.4790942728416,-2.600122739475686,11,21,4,6
45295,341.0639061955121,620.5120026208343,-2.380033544003126,17,27,113,2
45395,341.31650458646476,619.3820582007015,-2.2405540413332137,20,30,111,113
45495,340.47464880985746,618.476201333479,-2.089891976017814,24,34,109,111
45595,340.22127116096897,617.4776077118007,-1.943306404612379,28,38,107,109
45697,339.62300076375254,615.9937569408537,-1.7950984885243508,32,42,105,107
45795,337.0165894313093,614.2576327364178,-1.5610408702498177,39,49,102,104
45895,333.2910698935084,612.6835549145208,-1.3819169214103884,43,53,99,101
45995,334.0781558347936,611.9782134720365,-1.2746222617873562,46,56,97,99
46095,337.62090332674404,611.0102487620069,-1.1759232965271564,49,59,96,98
46198,,,,49,59,96,98
46295,,,,49,59,96,98
46396,,,,49,59,96,98
46497,,,,49,59,96,98
46599,,,,49,59,96,98
46698,,,,49,59,96,98
46797,,,,49,59,96,98
46900,,,,49,59,96,98
46998,,,,49,59,96,98
47102,,,,49,59,96,98
47201,,,,49,59,96,98
47301,,,,49,59,96,98
47404,,,,49,59,96,98
47500,,,,49,59,96,98
47606,,,,49,59,96,98
47711,,,,49,59,96,98
47812,,,,49,59,96,98
47913,,,,49,59,96,98
48017,,,,49,59,96,98
48117,,,,49,59,96,98
48221,,,,49,59,96,98
48321,,,,49,59,96,98
48419,,,,49,59,96,98
48520,,,,49,59,96,98
48621,,,,49,59,96,98
48721,,,,49,59,96,98
48821,,,,49,59,96,98
48923,,,,49,59,96,98
49023,,,,49,59,96,98
49130,,,,49,59,96,98
49228,,,,49,59,96,98
49328,,,,49,59,96,98
49429,,,,49,59,96,98
49531,,,,49,59,96,98
49634,,,,49,59,96,98
49733,,,,49,59,96,98
49834,,,,49,59,96,98
49937,408.1185477493082,718.00148711464,-1.574443473671555,38,48,102,104
49997,402.91356323786533,722.5296162554391,-1.3989860320405756,43,53,99,101
50097,403.32292630326367,725.6896445687173,-1.2674575235971166,47,57,97,99
50201,401.368788578081,724.7764259687463,-1.18886856513827,49,59,96,98
50297,394.117328802273,716.3902553658808,-1.1312626432806008,50,60,95,97
50397,391.863608835166,712.4862916987681,-1.0630811273026426,52,62,94,96
50497,395.89508406745495,713.3982695957981,-0.8629123050457093,57,67,92,94
50597,398.90548168401415,714.8109520085961,-0.5439808593500899,66,76,87,89
50698,402.5504455901203,719.2687807410186,-0.3993544130511853,70,80,85,87
50797,407.2807666397683,720.596321630696,-0.14300845157291747,77,87,81,83
50897,402.76296455698196,721.9580119765401,-0.028878872785209883,80,90,80,82
50997,399.8204617678451,726.7992461140859,0.06687303441540517,83,93,78,80
51098,398.50610086024363,729.7075314948455,0.1689604826764794,85,95,77,79
51202,391.78400006542137,729.0531682952188,0.351219268597157,90,100,74,76
51298,390.7422897816256,730.9441990273448,0.5105019462762532,95,105,72,74
51398,388.6856685729857,731.5269501886028,0.6522919378919376,98,108,70,72
51497,382.93230886305355,726.3330376566249,0.7800223357449617,102,112,68,70
